customer_id,age,gender,previous_purchases,item_purchased,category,purchase_amount_usd,location,size,color,season,review_rating,shipping_type,discount_applied,promo_code_used,payment_method,created_at,updated_at
1952,33,Male,32,Gloves,Accessories,53,Connecticut,L,Gold,Summer,2.7,Next Day Air,No,No,Bank Transfer,2025-03-20 18:03:56,2025-03-20 18:03:56
1551,66,Male,40,Sunglasses,Accessories,26,Arkansas,S,Black,Summer,2.8,Free Shipping,Yes,Yes,Debit Card,2025-04-04 17:16:15,2025-04-04 17:16:15
32,33,Male,45,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Store Pickup,Yes,Yes,Venmo,2025-03-25 14:32:36,2025-03-25 14:32:36
3172,68,Female,26,Jewelry,Accessories,26,Tennessee,M,Maroon,Spring,3.1,Express,No,No,Credit Card,2025-03-20 09:34:48,2025-03-20 09:34:48
1045,39,Male,17,Jeans,Clothing,30,Oregon,L,Teal,Summer,4.4,Next Day Air,Yes,Yes,Credit Card,2025-03-09 11:50:52,2025-03-09 11:50:52
382,66,Male,3,Jewelry,Accessories,25,Maine,L,Lavender,Winter,3.4,Store Pickup,Yes,Yes,Debit Card,2025-03-29 11:39:45,2025-03-29 11:39:45
777,49,Male,8,Shirt,Clothing,60,Alabama,M,Maroon,Spring,5.0,Standard,Yes,Yes,PayPal,2025-03-10 17:55:40,2025-03-10 17:55:40
2792,43,Female,14,Gloves,Accessories,60,Iowa,M,Yellow,Fall,2.8,Express,No,No,Credit Card,2025-04-20 14:30:54,2025-04-20 14:30:54
411,29,Male,1,Sweater,Clothing,26,Virginia,L,Lavender,Spring,4.8,2-Day Shipping,Yes,Yes,Debit Card,2025-04-27 01:43:30,2025-04-27 01:43:30
2332,61,Male,10,Scarf,Accessories,77,Illinois,S,Olive,Spring,4.3,2-Day Shipping,No,No,Credit Card,2025-03-05 21:01:38,2025-03-05 21:01:38
843,59,Male,25,Shirt,Clothing,87,Missouri,M,Violet,Spring,3.6,Express,Yes,Yes,Venmo,2025-04-11 14:30:41,2025-04-11 14:30:41
1587,25,Male,21,Boots,Footwear,77,Oklahoma,M,Purple,Fall,4.0,Express,Yes,Yes,Debit Card,2025-03-18 23:03:40,2025-03-18 23:03:40
1946,35,Male,9,Hoodie,Clothing,38,Georgia,M,Gold,Winter,2.9,2-Day Shipping,No,No,Debit Card,2025-03-22 11:35:07,2025-03-22 11:35:07
2769,55,Female,28,Blouse,Clothing,25,Kansas,M,Beige,Spring,3.8,2-Day Shipping,No,No,Venmo,2025-04-23 15:32:25,2025-04-23 15:32:25
1924,64,Male,7,Sandals,Footwear,36,Nebraska,XL,Blue,Summer,4.3,Standard,No,No,PayPal,2025-02-05 18:32:38,2025-02-05 18:32:38
3224,68,Female,36,Shirt,Clothing,65,Montana,S,Gray,Spring,3.9,Standard,No,No,PayPal,2025-02-07 05:17:21,2025-02-07 05:17:21
3774,25,Female,41,Sweater,Clothing,60,Wisconsin,M,Violet,Summer,3.5,Store Pickup,No,No,Bank Transfer,2025-02-01 04:49:43,2025-02-01 04:49:43
2877,65,Female,5,Hoodie,Clothing,84,New Mexico,M,Charcoal,Spring,3.4,2-Day Shipping,No,No,Credit Card,2025-04-15 06:48:12,2025-04-15 06:48:12
2949,61,Female,38,Pants,Clothing,83,Vermont,M,Violet,Winter,3.1,Standard,No,No,Credit Card,2025-04-10 09:13:03,2025-04-10 09:13:03
568,21,Male,24,Blouse,Clothing,50,New Hampshire,S,Red,Winter,3.0,Next Day Air,Yes,Yes,Venmo,2025-04-18 15:32:00,2025-04-18 15:32:00
