item_purchased,category,purchase_amount_usd,location,size,color,season,discount_applied,promo_code_used,payment_method,created_at,updated_at
Pants,Clothing,55,Tennessee,M,Peach,Spring,Yes,Yes,Cash,2025-03-29 08:13:04,2025-03-29 08:13:04
Hoodie,Clothing,56,Tennessee,M,Pink,Winter,No,No,Credit Card,2025-04-04 15:21:02,2025-04-04 15:21:02
Coat,Outerwear,100,Tennessee,M,Beige,Spring,Yes,Yes,Bank Transfer,2025-03-15 19:25:58,2025-03-15 19:25:58
Sunglasses,Accessories,74,Tennessee,L,Red,Fall,No,No,Credit Card,2025-03-23 17:28:31,2025-03-23 17:28:31
Socks,Clothing,43,Tennessee,S,Indigo,Fall,No,No,Debit Card,2025-02-10 18:00:16,2025-02-10 18:00:16
Sneakers,Footwear,84,Tennessee,XL,Teal,Fall,No,No,PayPal,2025-04-19 06:13:58,2025-04-19 06:13:58
Shirt,Clothing,73,Tennessee,XL,Teal,Fall,Yes,Yes,Bank Transfer,2025-04-08 19:43:42,2025-04-08 19:43:42
Coat,Outerwear,95,Tennessee,M,White,Fall,Yes,Yes,Debit Card,2025-04-30 04:17:19,2025-04-30 04:17:19
Sandals,Footwear,70,Tennessee,M,Charcoal,Spring,No,No,PayPal,2025-02-26 03:57:39,2025-02-26 03:57:39
Sneakers,Footwear,79,Tennessee,L,Red,Fall,Yes,Yes,PayPal,2025-02-19 19:18:30,2025-02-19 19:18:30
Dress,Clothing,44,Tennessee,L,Beige,Spring,No,No,Debit Card,2025-02-10 15:24:04,2025-02-10 15:24:04
Sandals,Footwear,72,Tennessee,L,Purple,Summer,Yes,Yes,Venmo,2025-04-27 02:54:21,2025-04-27 02:54:21
Dress,Clothing,99,Tennessee,M,Green,Summer,No,No,Cash,2025-04-10 15:06:29,2025-04-10 15:06:29
Dress,Clothing,32,Tennessee,S,Cyan,Winter,No,No,PayPal,2025-02-14 08:16:19,2025-02-14 08:16:19
Pants,Clothing,64,Tennessee,L,Cyan,Summer,No,No,Bank Transfer,2025-03-21 02:25:38,2025-03-21 02:25:38
